LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
2804.8324724173544,10.522167884111404,2832.9845666885376,67.75012524962426
2774.4426810777186,10.507906367778778,2826.103734970093,59.61611589610577
2749.521441128254,10.528437178134919,2826.0621070861816,50.60981518685818
2752.2000818634033,10.617795558571816,2851.3014793395996,41.0503581610322
2762.0062268674374,10.725807182788849,2882.5258255004883,31.610797349810603
2770.3703738558293,10.830668696165086,2912.3687267303467,22.35922268986702
2775.330477561951,10.927450358867645,2939.5025968551636,13.426638253927232
2777.301329907179,11.017435668706895,2964.496064186096,4.961763834357262
2776.9754679989815,11.102357863187791,2987.938141822815,-2.888043111562729
2774.91761890173,11.183039102554321,3010.14404296875,-10.003572900295259
2771.5838174414635,11.25952835559845,3031.2326431274414,-16.30853476703167
2767.3937960958483,11.331587221622467,3051.2391328811646,-21.775864369869232
2762.7488139581683,11.398977299928665,3070.172095298767,-26.424323315620423
2758.0097464442256,11.461577457189561,3088.031315803528,-30.308941360116005
2753.4708788633347,11.519392848014832,3104.809069633484,-33.50841212689877
2749.347447624207,11.572518832683564,3120.493984222412,-36.11249955296517
2745.7747810077667,11.621121647357942,3135.0757598876953,-38.21253372430802
2742.8224764156344,11.665420362949371,3148.5531091690063,-39.89433102428913
2740.510510879755,11.705663689374925,3160.9421253204346,-41.23460057258606
2738.8234183108807,11.742135130167007,3172.2715616226196,-42.299335168004035
2737.7244667470454,11.775127209424973,3182.5894832611084,-43.143897104859356
2737.162961784601,11.80494791507721,3191.952967643738,-43.813769066333776
2737.0828388500213,11.831891059875488,3200.4308938980103,-44.34572337269783
2737.4261001086234,11.856246590614319,3208.0957889556885,-44.769205770492555
2738.1347477257254,11.878287701606752,3215.021252632141,-45.10769776761532
2739.1555096161364,11.898269546031953,3221.280026435852,-45.37971424877644
2740.4376913762094,11.916424081325532,3226.9427061080933,-45.59977963685989
2741.9363983857634,11.932965223789216,3232.074522972107,-45.779221694469456
2743.6097433197497,11.948082405328751,3236.735773086548,-45.927040414810186
2745.4229274773597,11.961947016716003,3240.9818172454834,-46.05016547083855
2747.343729839325,11.974704675674438,3244.861149787903,-46.15396038651467
2749.3448699426654,11.986494556665422,3248.4188318252563,-46.242640891671186
2751.402719039917,11.997427483797074,3251.693058013916,-46.31946800887585
2753.4970852923393,12.00760783791542,3254.717516899109,-46.38691968619824
2755.611428576708,12.017119381427765,3257.5228929519653,-46.44699115455151
2757.730927224159,12.02603943347931,3260.1338624954224,-46.501216381788254
2759.8437668609618,12.034436292648316,3262.5731706619263,-46.55068952679634
2761.9400663745405,12.042358927726745,3264.858841896057,-46.59636529684067
2764.01209272027,12.049862750768662,3267.0095443725586,-46.63890876889229
2766.052327660322,12.056986421346664,3269.0385818481445,-46.678813387155536
2768.056260251999,12.063766021728515,3270.957326889038,-46.716583322882656
2770.019809166193,12.070229902267457,3272.7771520614624,-46.752433117032055
2771.9391078805925,12.076405124664307,3274.5070695877075,-46.78669530808926
2773.8128675544262,12.082317461967468,3276.1550188064575,-46.819487893581396
2775.638510506153,12.087984955310821,3277.727437019348,-46.8509932333231
2777.4145330882075,12.093421779870987,3279.2299032211304,-46.8813293248415
2779.141150107384,12.098644688129426,3280.667781829834,-46.91057125747204
2780.817502336502,12.103667855262756,3282.045793533325,-46.938815574646
2782.4433749687673,12.108501590490341,3283.3669424057007,-46.966073003411296
2784.019842038155,12.11315491437912,3284.6355199813843,-46.99250444948674
2785.546044317484,12.117636847496033,3285.8541011810303,-47.017970461249355
2787.0239150679113,12.12195898771286,3287.0246171951294,-47.042674852609636
2788.4538839030265,12.126123912334442,3288.1515741348267,-47.06649962604046
2789.8365952432155,12.13014193058014,3289.2345428466797,-47.08961641430855
2791.173123122454,12.134015619754791,3290.277600288391,-47.111928673982625
2792.464756381512,12.137752711772919,3291.281819343567,-47.13353294849396
2793.71192463398,12.141358361244203,3292.2487020492554,-47.15441851079464
2794.916561141014,12.144837722778322,3293.179750442505,-47.17462826907635
2796.079310323,12.148195950984956,3294.0764665603638,-47.19414076924324
2797.201461020708,12.151433045864106,3294.940137863159,-47.212988192439084
2798.283872461319,12.154558027982713,3295.7722663879395,-47.231234900951385
2799.3284779059886,12.157569608688355,3296.5737104415894,-47.24887016773224
2800.3357069683075,12.160476808547974,3297.345972061157,-47.265904719829564
2801.3072781026362,12.163282204866409,3298.09033870697,-47.28230637609959
2802.2434061157705,12.165987086296083,3298.806381225586,-47.29819313406944
2803.146668689251,12.168595318794251,3299.49688911438,-47.31355426669121
2804.016636209488,12.171113345623016,3300.1625061035156,-47.328336138725284
2804.8552419376374,12.17354116678238,3300.803232192993,-47.34258165836334
2805.6631302940846,12.175881359577179,3301.4201402664185,-47.35637664198876
2806.4418049263954,12.178136501312256,3302.014946937561,-47.36968890845776
2807.1919102549555,12.18031174659729,3302.5874376296997,-47.38250773072243
2807.9140907001497,12.182407095432282,3303.1384706497192,-47.39486528992653
2808.609849909544,12.18442770242691,3303.669548034668,-47.40680449426174
2809.2804767239095,12.186373567581176,3304.1813135147095,-47.41830388963223
2809.9255415296557,12.18824984550476,3304.67312335968,-47.42935274899006
2810.546333167553,12.190057824850083,3305.1466941833496,-47.44004761576653
2811.144784898758,12.191798794269562,3305.6030988693237,-47.45035630881787
2811.7208967232705,12.1934791970253,3306.042766571045,-47.460268101096155
2812.275313061476,12.195095167160035,3306.465697288513,-47.46979371964932
2812.809322754145,12.196651859283447,3306.872320175171,-47.47904043495655
2813.322925801277,12.198151850700379,3307.264566421509,-47.48791170358658
2813.817625850439,12.199596430063249,3307.6411485671997,-47.49643970668316
2814.29299328804,12.200986886024475,3308.004856109619,-47.504688806533814
2814.7513909888266,12.202327084541322,3308.3537578582764,-47.512626821994786
2815.1919597256183,12.203615736961366,3308.689785003662,-47.520253753066065
2815.6157735323904,12.204857997894287,3309.0133666992188,-47.52761250793934
2816.023691636324,12.206053867340088,3309.3245029449463,-47.53468163251877
2816.416573264599,12.207203345298767,3309.6242666244507,-47.541493307948116
2816.7939888036253,12.208311586380006,3309.9122285842896,-47.54809044241905
2817.1574419009685,12.209377301931381,3310.18967628479,-47.55436576545239
2817.506932556629,12.210403069257737,3310.4561805725098,-47.560480182766916
2817.8435348045828,12.21139017701149,3310.7125997543335,-47.56632642388344
2818.1672486448288,12.212339913845062,3310.9593629837036,-47.571990305185324
2818.478718497753,12.213256145715714,3311.1968994140625,-47.57740746438503
2818.778159170151,12.214136295318603,3311.42520904541,-47.582610082626346
2819.065785468817,12.214981651306152,3311.644721031189,-47.58764106810093
2819.342456620932,12.21579865694046,3311.856508255005,-47.59247896671295
2819.609031853676,12.216582157611848,3312.059497833252,-47.59715595960617
2819.8652963602544,12.217336019277573,3312.254548072815,-47.60163986563683
2820.1118945610524,12.218061530590058,3312.4427318573,-47.60594141185284
2820.348611649275,12.218759980201721,3312.6240491867065,-47.61009277939797
2820.5765216588975,12.219431368112565,3312.797427177429,-47.614093968272215
2820.79562458992,12.220076982975007,3312.9650115966797,-47.61790207028389
2821.0065648627283,12.220698113441468,3313.125729560852,-47.62161362886429
2821.2093424773216,12.221296048164367,3313.280439376831,-47.625121373534206
2821.404172240496,12.221869498491287,3313.4291410446167,-47.6285647559166
2821.5912689590455,12.222424907684326,3313.57204914093,-47.63182577848435
2821.7712770533562,12.222955832481384,3313.709807395935,-47.63497953057289
2821.944626137018,12.223466138839722,3313.8415575027466,-47.63804746627808
2822.1113162100314,12.2239596927166,3313.968801498413,-47.6409759503603
